datasetId,context,scope,cancer,geneA,geneB,eventTimeMonths,transformedTime,coefficient,ciHighCoefficient,ciLowCoefficient,hazardRatio,ciLow,ciHigh,splineDegreesFreedom,diagnostic
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,3.738142256,909.2929293,1.299063177,1.508080634,1.090045721,3.665860797,2.974410062,4.518050673,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,4.020969697,979.1616162,1.276115653,1.485740647,1.066490659,3.582696227,2.90516637,4.418236555,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,4.401427432,1049.030303,1.253516664,1.465924446,1.041108883,3.50263893,2.832356025,4.331545669,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,4.713804714,1118.89899,1.231291107,1.448089433,1.014492781,3.425649563,2.757964152,4.254977325,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,5.004419192,1188.767677,1.209463877,1.43169021,0.9872375436,3.351687253,2.683810314,4.185768042,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,5.328618182,1258.636364,1.188059868,1.416219726,0.9599000096,3.280710018,2.611435342,4.121510517,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,5.651675084,1328.505051,1.167103977,1.40123095,0.9329770036,3.212675172,2.542065663,4.06019479,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,5.941580149,1398.373737,1.146621099,1.386343774,0.906898424,3.147539696,2.476629155,4.000197655,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,6.195437229,1468.242424,1.126636129,1.371243352,0.8820289062,3.085260606,2.415796161,3.940246764,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,6.464533333,1538.111111,1.107173586,1.355675954,0.8586712173,3.02579415,2.360022652,3.879382356,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,6.703939394,1607.979798,1.088240767,1.339492375,0.836989159,2.969046231,2.309403253,3.817105356,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,6.978806818,1677.848485,1.069820994,1.322664021,0.8169779671,2.914857677,2.26364867,3.753407227,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,7.232463099,1747.717172,1.051895814,1.305210251,0.7985813778,2.863073833,2.222385965,3.688464516,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,7.577639553,1817.585859,1.034446775,1.287183925,0.7817096243,2.813549278,2.185204953,3.622570747,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,7.955625,1887.454545,1.017455422,1.26866485,0.7662459929,2.766147123,2.151673675,3.556101464,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,8.255646465,1957.323232,1.000903302,1.249755214,0.752051391,2.720738369,2.121347269,3.489488675,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,8.547944047,2027.191919,0.9847719641,1.230576301,0.7389676277,2.677201317,2.093772845,3.423201761,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,8.940373737,2097.060606,0.9690429534,1.211265942,0.7268199652,2.635421031,2.06849226,3.357732656,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,9.269972559,2166.929293,0.9536978173,1.191976205,0.7154194296,2.595288841,2.045044254,3.293583577,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,9.659191712,2236.79798,0.9387181029,1.172870865,0.7045653405,2.556701888,2.022967192,3.231255835,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,9.962675112,2306.666667,0.9240853569,1.154122193,0.6940485206,2.519562706,2.001803493,3.171238461,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,10.32000274,2376.535354,0.9097811265,1.135906633,0.6836556197,2.48377884,1.981106684,3.113995515,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,10.71925365,2446.40404,0.8957869584,1.118399009,0.6731749076,2.449262499,1.960451703,3.059951326,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,11.0487949,2516.272727,0.8820843998,1.101765109,0.6624036902,2.415930226,1.93944857,3.009473388,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,11.40808754,2586.141414,0.8686549974,1.086152839,0.6511571554,2.38370261,1.91775869,2.962853545,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,11.81659091,2656.010101,0.8554802983,1.071682607,0.6392779895,2.352504013,1.895112094,2.920289067,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,12.16423004,2725.878788,0.8425418493,1.058438077,0.6266456218,2.322262322,1.871322915,2.881866219,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,12.5330242,2795.747475,0.8298211976,1.046458734,0.6131836607,2.292908726,1.846300045,2.847549314,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,12.90744108,2865.616162,0.8172998898,1.035735617,0.5988641624,2.264377507,1.820050344,2.817177838,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,13.25667172,2935.484848,0.8049594732,1.026211046,0.5837079003,2.236605854,1.792673176,2.790472806,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,13.6445942,3005.353535,0.7927814944,1.017782355,0.5677806341,2.209533693,1.764346972,2.767051616,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,14.01829167,3075.222222,0.7807475006,1.0103088,0.5511862013,2.183103527,1.735310225,2.746448988,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,14.45004643,3145.090909,0.7688390387,1.003620306,0.5340577718,2.157260304,1.705840194,2.728140675,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,14.82335859,3214.959596,0.7570376555,0.9975266242,0.5165486869,2.131951283,1.676232452,2.711566804,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,15.21011223,3284.828283,0.7453248981,0.9918257841,0.4988240121,2.107125925,1.646783534,2.696152574,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,15.61602074,3354.69697,0.7336823134,0.9863111508,0.481053476,2.08273579,1.617777795,2.681325202,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,15.95303958,3424.565657,0.7220914483,0.9807768787,0.4634060178,2.058734448,1.589478568,2.666527006,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,16.32038889,3494.434343,0.7105338497,0.9750218569,0.4460458425,2.035077394,1.562123077,2.651225158,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,16.78151515,3564.30303,0.6989910647,0.9688524312,0.4291296982,2.011721986,1.535920228,2.634918973,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,17.19394858,3634.171717,0.687446821,0.9620975992,0.4127960428,1.988631713,1.511036808,2.617180515,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,17.62720539,3704.040404,0.6758970144,0.9546745472,0.3971194816,1.965795532,1.487533652,2.597824976,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,18.01282645,3773.909091,0.6643417593,0.9465456702,0.3821378484,1.943211,1.465414076,2.576793175,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,18.38515152,3843.777778,0.6527811741,0.9376907039,0.3678716443,1.920875697,1.444656597,2.554076484,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,18.8174826,3913.646465,0.6412153772,0.9281038684,0.354326886,1.89878722,1.425220995,2.529707968,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,19.11388889,3983.515152,0.6296444871,0.9177917777,0.3414971965,1.876943183,1.407052649,2.503755432,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,19.51946135,4053.383838,0.6180686223,0.9067719419,0.3293653026,1.855341214,1.390085565,2.476315926,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,19.94496708,4123.252525,0.6064879011,0.8950717495,0.3179040527,1.833978959,1.3742444,2.447511391,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,20.32761575,4193.121212,0.5949024421,0.8827278396,0.3070770446,1.812854078,1.359445702,2.417485232,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,20.8223913,4262.989899,0.5833123636,0.8697857955,0.2968389317,1.791964248,1.345598549,2.386399621,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,21.3794359,4332.858586,0.5717177842,0.8563001049,0.2871354634,1.771307163,1.33260472,2.354433402,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,21.86717273,4402.727273,0.5601188222,0.8423343385,0.277903306,1.750880531,1.32035852,2.321780477,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,22.35766869,4472.59596,0.5485155962,0.8279615002,0.2690696921,1.730682079,1.308746347,2.288648572,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,22.89799176,4542.464646,0.5369082245,0.8132644962,0.2605519528,1.710709547,1.297646128,2.255258265,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,23.315,4612.333333,0.5252968256,0.7983366529,0.2522569984,1.690960694,1.286926733,2.221842158,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,23.8740665,4682.20202,0.513681518,0.7832821936,0.2440808425,1.671433294,1.276447518,2.188644043,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,24.45323426,4752.070707,0.5020624201,0.7682165491,0.2359082912,1.652125136,1.266058196,2.155917849,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,25.03750237,4821.939394,0.4904396504,0.7532663393,0.2276129615,1.633034026,1.255599266,2.123926162,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,25.63491813,4891.808081,0.4788133272,0.7385688232,0.2190578313,1.614157788,1.244903269,2.092938006,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,26.16921597,4961.676768,0.4671835691,0.7242705865,0.2100965518,1.59549426,1.23379718,2.063225606,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,26.82680808,5031.545455,0.4555504945,0.7105252367,0.2005757524,1.577041297,1.222106186,2.035059866,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,27.5946101,5101.414141,0.4439142219,0.6974899284,0.1903385153,1.558796769,1.209659016,2.008704383,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,28.24104631,5171.282828,0.4322748696,0.6853206723,0.1792290669,1.540758565,1.196294744,1.984408078,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,29.04732364,5241.151515,0.4206325561,0.6741665857,0.1670985265,1.522924586,1.181870705,1.962396805,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,29.85911033,5311.020202,0.4089873999,0.6641635139,0.153811286,1.505292754,1.166270774,1.942864662,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,30.82993333,5380.888889,0.3973395195,0.6554277012,0.1392513377,1.487861002,1.149412955,1.925966079,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,32.05476976,5450.757576,0.3856890332,0.6480503513,0.1233277151,1.470627283,1.13125509,1.911809836,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,33.34538272,5520.626263,0.3740360595,0.6420938715,0.1059782475,1.453589565,1.111797692,1.900456027,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,34.34433586,5590.494949,0.3623807169,0.6375903511,0.08717108282,1.436745831,1.091083329,1.891916528,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,35.49726744,5660.363636,0.3507231239,0.6345424075,0.06690384024,1.420094081,1.06919266,1.886158852,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,36.73551282,5730.232323,0.3390633987,0.6329261072,0.04520069032,1.403632331,1.046237809,1.883112715,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,37.73696177,5800.10101,0.32740166,0.6326953416,0.02210797844,1.387358612,1.022354171,1.882678208,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,38.92813853,5869.969697,0.3157380262,0.6337869124,-0.0023108601,1.371270971,0.9976918079,1.884734406,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,40.3660845,5939.838384,0.3040726156,0.6361256352,-0.02798040399,1.355367473,0.9724074219,1.889147436,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,41.7055064,6009.707071,0.2924055468,0.6396289527,-0.05481785921,1.339646197,0.9466575572,1.895777326,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,43.49084343,6079.575758,0.2807369381,0.6442107674,-0.08273689107,1.324105237,0.9205933317,1.904483356,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,45.30621363,6149.444444,0.2690669082,0.6497843951,-0.1116505788,1.308742704,0.8943567101,1.915127873,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,47.30959365,6219.313131,0.2573955753,0.6562646839,-0.1414735334,1.293556725,0.8680781503,1.927578754,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,49.05600038,6289.181818,0.2457230579,0.6635694139,-0.1721232982,1.278545441,0.8418753651,1.941710749,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,51.01722101,6359.050505,0.2340494745,0.6716201263,-0.2035211773,1.263707012,0.8158529266,1.957405998,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,53.13198653,6428.919192,0.2223749435,0.6803425267,-0.2355926396,1.249039609,0.7901024648,1.974553954,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,55.7517399,6498.787879,0.2106995834,0.6896665885,-0.2682674216,1.234541423,0.7647032556,1.993050916,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,58.58516121,6568.656566,0.1990235127,0.6995264569,-0.3014794316,1.220210656,0.7397230411,2.012799335,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,62.18058341,6638.525253,0.1873468497,0.7098602309,-0.3351665315,1.206045529,0.7152189699,2.033706989,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,70.11238496,6708.393939,0.1756697129,0.7206096762,-0.3692702504,1.192044277,0.6912385777,2.055686132,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,81.81265284,6778.262626,0.1639922208,0.7317199098,-0.4037354683,1.17820515,0.6678207576,2.07865263,4,natural-spline smooth of scaled Schoenfeld beta(t)
